State Fiscal Year,Months Reported,Enrollee Months,Average Annual Enrollment,End of Period Enrollment,Enrollee Months Annual Change,Enrollee Months % Growth,State Spending (Millions),State Spending Annual Change (Millions),State Spending Annual Change %,Average Annual Spending per Enrollee,Average Annual Spending per Enrollee Annual Change,Average Annual Per Capita Spending % Growth
FY26 (YTD),7,31158106,4451158,4419503,NA,NA,NA,NA,NA,NA,NA,NA
FY25,12,54655759,4554646.583333333,4480486,-8855242,-0.13942847476140394,20264000000,-1749000000,-0.07945305047017671,4449.082849622489,289.8664014358201,0.06969255027883815
FY24,12,63511001,5292583.416666667,5080545,-1742150,-0.02669832756428881,22013000000,909000000,0.0430724033358605,4159.216448186669,278.20846437298314,0.07168458955335634
FY23,12,65253151,5437762.583333333,5494358,2794207,0.04473669935886204,21104000000,1470000000,0.07487012325557706,3881.007983813686,108.8020368159273,0.028843079711096148
FY22,12,62458944,5204912,5252419,5547527,0.0974765221537183,19634000000,1948000000,0.11014361641976705,3772.205946997759,43.04207817333645,0.011542018449005565
FY21,12,56911417,4742618.083333333,4947832,5853421,0.11464259192624794,17686000000,-152000000,-0.008521134656351608,3729.1638688244225,-463.24509293741403,-0.11049616036092477
FY20,12,51057996,4254833,4206715,-1436659,-0.027367719627836396,17838000000,1708000000,0.10588964662120273,4192.4089617618365,505.1764235157998,0.13700693359472926
FY19,12,52494655,4374554.583333333,4352116,-181772,-0.003450727590160965,16130000000,168000000,0.010524996867560456,3687.2325382460367,50.99502350343664,0.01402411786817684
FY18,12,52676427,4389702.25,4391939,-150865,-0.002855815512936003,15962000000,2200000000,0.15986048539456474,3636.2375147426,510.1261100542806,0.1631823195069855
FY17,12,52827292,4402274.333333333,4363641,-2256316,-0.040961659592087724,13762000000,1296000000,0.10396277875822237,3126.1114046883195,410.38515814324955,0.15111433218474765
FY16,12,55083608,4590300.666666667,4640405,7344942,0.15385729462989184,12466000000,-201000000,-0.0158680034735928,2715.72624654507,-468.35937495093094,-0.1470938381144658
FY15,12,47738666,3978222.1666666665,4386992,5840249,0.13939068390101708,12667000000,1450000000,0.12926807524293482,3184.085621496001,-28.54171953218156,-0.008884229791509822
FY14,12,41898417,3491534.75,3488599,-59301,-0.0014133514124862558,11217000000,1420000000,0.14494232928447484,3212.6273410281824,410.66370706696443,0.14656282547336175
FY13,12,41957718,3496476.5,3522128,202009,0.004837877378635817,9797000000,5745531000,1.4181352492145443,2801.963633961218,1637.62876420724,1.4064929314993961
FY12,12,41755709,3479642.4166666665,3522128,NA,NA,4051469000,NA,NA,1164.334869753978,NA,NA
